Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/business-units,18,18,3,3.2135786109898214,1.0814159995788941,4.512208000051032,22.0,0.3087343415893146,0.3087343415893146,3,4,4,4,4,5,5,5,5,5,5
GET,/invoice-items?limit=1000,118,118,4,3.626194228780736,1.127083000028506,8.637666999675275,22.0,2.0239251281966184,2.0239251281966184,4,4,4,4,5,5,7,7,9,9,9
GET,/invoices?limit=25,88,88,4,4.0292765114083355,1.449792000130401,7.5527500002863235,22.0,1.5093678922144271,1.5093678922144271,4,5,5,5,6,6,7,8,8,8,8
GET,/invoices?limit=500,122,122,4,3.3889529098978826,1.1137499996038969,7.528209000156494,22.0,2.0925327596609105,2.0925327596609105,4,4,4,4,5,5,6,7,8,8,8
GET,/invoices?skip=1&limit=100,1,1,1.9857500001307926,1.9857500001307926,1.9857500001307926,1.9857500001307926,22.0,0.017151907866073037,0.017151907866073037,2,2,2,2,2,2,2,2,2,2,2
GET,/invoices?skip=100&limit=25,1,1,7.619666999744368,7.619666999744368,7.619666999744368,7.619666999744368,22.0,0.017151907866073037,0.017151907866073037,8,8,8,8,8,8,8,8,8,8,8
GET,/invoices?skip=12&limit=50,1,1,6.667500000730797,6.667500000730797,6.667500000730797,6.667500000730797,22.0,0.017151907866073037,0.017151907866073037,7,7,7,7,7,7,7,7,7,7,7
GET,/invoices?skip=13&limit=10,1,1,2.3705419998805155,2.3705419998805155,2.3705419998805155,2.3705419998805155,22.0,0.017151907866073037,0.017151907866073037,2,2,2,2,2,2,2,2,2,2,2
GET,/invoices?skip=15&limit=10,1,1,3.455459000178962,3.455459000178962,3.455459000178962,3.455459000178962,22.0,0.017151907866073037,0.017151907866073037,3,3,3,3,3,3,3,3,3,3,3
GET,/invoices?skip=16&limit=100,1,1,3.5554579999370617,3.5554579999370617,3.5554579999370617,3.5554579999370617,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/invoices?skip=17&limit=50,1,1,4.618709000169474,4.618709000169474,4.618709000169474,4.618709000169474,22.0,0.017151907866073037,0.017151907866073037,5,5,5,5,5,5,5,5,5,5,5
GET,/invoices?skip=18&limit=50,1,1,3.9757909999025287,3.9757909999025287,3.9757909999025287,3.9757909999025287,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/invoices?skip=23&limit=50,1,1,3.252250000514323,3.252250000514323,3.252250000514323,3.252250000514323,22.0,0.017151907866073037,0.017151907866073037,3,3,3,3,3,3,3,3,3,3,3
GET,/invoices?skip=27&limit=25,1,1,4.2493339997236035,4.2493339997236035,4.2493339997236035,4.2493339997236035,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/invoices?skip=3&limit=25,1,1,4.280333000679093,4.280333000679093,4.280333000679093,4.280333000679093,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/invoices?skip=33&limit=100,1,1,4.157375000431784,4.157375000431784,4.157375000431784,4.157375000431784,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/invoices?skip=33&limit=25,2,2,3.101541999967594,3.7842505003027327,3.101541999967594,4.466959000637871,22.0,0.034303815732146074,0.034303815732146074,4,4,4,4,4,4,4,4,4,4,4
GET,/invoices?skip=36&limit=50,1,1,1.7857499997262494,1.7857499997262494,1.7857499997262494,1.7857499997262494,22.0,0.017151907866073037,0.017151907866073037,2,2,2,2,2,2,2,2,2,2,2
GET,/invoices?skip=4&limit=50,1,1,4.272625000339758,4.272625000339758,4.272625000339758,4.272625000339758,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/invoices?skip=41&limit=50,1,1,4.052083000715356,4.052083000715356,4.052083000715356,4.052083000715356,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/invoices?skip=44&limit=50,1,1,2.6484159998290124,2.6484159998290124,2.6484159998290124,2.6484159998290124,22.0,0.017151907866073037,0.017151907866073037,3,3,3,3,3,3,3,3,3,3,3
