Method,Name,Error,Occurrences
GET,/users?skip=49&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=5&limit=10,CatchResponseError('HTTP 404'),2
GET,/users?skip=49&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=44&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?search=admin&limit=25,CatchResponseError('HTTP 404'),6
GET,/users?skip=18&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=15&limit=10,CatchResponseError('HTTP 404'),1
GET,/users?skip=19&limit=10,CatchResponseError('HTTP 404'),1
GET,/invoices?limit=25,CatchResponseError('HTTP 404'),88
GET,/invoices?skip=33&limit=100,CatchResponseError('HTTP 404'),1
GET,/users?skip=74&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=8&limit=50,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=41&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=34&limit=25,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=18&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=34&limit=10,CatchResponseError('HTTP 404'),1
GET,/users?skip=64&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=93&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=20&limit=25,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=100&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=41&limit=25,CatchResponseError('HTTP 404'),2
GET,/users?skip=13&limit=25,CatchResponseError('HTTP 404'),2
GET,/users?skip=6&limit=10,CatchResponseError('HTTP 404'),2
GET,/invoices?skip=7&limit=100,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=61&limit=100,CatchResponseError('HTTP 404'),1
GET,/invoices?limit=500,CatchResponseError('HTTP 404'),122
GET,/invoices?skip=86&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=36&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?search=global&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=46&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=186&limit=10,CatchResponseError('HTTP 404'),1
GET,/users?skip=37&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=60&limit=10,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=12&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=109&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=46&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=159&limit=50,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=23&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=84&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=71&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=33&limit=10,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=16&limit=100,CatchResponseError('HTTP 404'),1
GET,/users?skip=148&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=10&limit=10,CatchResponseError('HTTP 404'),1
GET,/suppliers?limit=25,CatchResponseError('HTTP 404'),16
GET,/users?skip=4&limit=10,CatchResponseError('HTTP 404'),1
GET,/users?skip=149&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=198&limit=25,CatchResponseError('HTTP 404'),1
